dist,var,plot,mean,sd
right,var,right1.PNG,Mean = 1.00; Median = 0.69,SD = 1.00;           IQR = 1.09
right,var,right2.PNG,Mean = 1.00; Median = 0.84,SD = 0.71;           IQR = 0.86
right,var,right3.PNG,Mean = 0.99; Median = 0.95,SD = 0.38;           IQR = 1.11
left,var,left1.PNG,Mean = -1.00; Median = -0.69,SD = 1.00;           IQR = 1.09
left,var,left2.PNG,Mean = -1.00; Median = -0.84,SD = 0.71;           IQR = 0.86
left,var,left3.PNG,Mean = -1.00; Median = -0.97,SD = 0.29;           IQR = 0.38
normal,var,normal1.PNG,Mean = 0.50; Median = 0.49,SD = 0.16;           IQR = 0.22
normal,var,normal2.PNG,Mean = 0.51; Median = 0.52,SD = 0.22;           IQR = 0.37
normal,var,normal3.PNG,Mean = 0.55; Median = 0.56,SD = 0.19;           IQR = 0.29
normal,var,uniform1.PNG,Mean = 0.48; Median = 0.48,SD = 0.30;           IQR = 0.53
normal,var,uniform2.PNG,Mean = 0.51; Median = 0.55,SD = 0.28;           IQR = 0.49
normal,var,uniform3.PNG,Mean = 0.50; Median = 0.51,SD = 0.31;           IQR = 0.32
random,var,right4.PNG,Mean = 0.99; Median = 0.76,SD = 0.86;           IQR = 1.00
random,var,right5.PNG,Mean = 0.99; Median = 0.75,SD = 0.89;           IQR = 1.02
random,var,right6.PNG,Mean = 1.00; Median = 0.97,SD = 0.25;           IQR = 0.34
random,var,right7.PNG,Mean = 0.99; Median = 0.98,SD = 0.22;           IQR = 0.30
random,var,right8.PNG,Mean = 1.00; Median = 0.94,SD = 0.54;           IQR = 0.69
random,var,left4.PNG,Mean = -0.99; Median = -0.95,SD = 0.39;           IQR = 0.51
random,var,left5.PNG,Mean = -1.00; Median = -0.97,SD = 0.27;           IQR = 0.36
random,var,left6.PNG,Mean = -1.00; Median = -0.94,SD = 0.43;           IQR = 0.57
random,var,left7.PNG,Mean = -1.00; Median = -0.97,SD = 0.29;           IQR = 0.40
random,var,left8.PNG,Mean = -1.00; Median = -0.98,SD = 0.24;           IQR = 0.32
