correlation,plot,negtive or positive
r = -0.92,regression1.PNG,neg
r = -0.75,regression2.PNG,neg
r = -0.81,regression3.PNG,neg
r = -0.34,regression4.PNG,neg
r = -0.56,regression5.PNG,neg
r = -0.37,regression6.PNG,neg
r = 0.80,regression7.PNG,pos
r = 0.28,regression8.PNG,pos
r = -0.58,regression9.PNG,pos
r = -0.99,regression10.PNG,pos
r = 0.00,regression11.PNG,pos
r = 0.70,regression12.PNG,pos
r = 0.99,regression13.PNG,out
r = 0.02,regression14.PNG,out
r = 0.76,regression15.PNG,out
r = 0.16,regression16.PNG,out
r = 0.09,regression17.PNG,hhh
r = -0.75,regression18.PNG,hhh
r = -0.46,regression19.PNG,hhh
r = 0.29,regression20.PNG,hhh
