level,mainColumn,mainAltText,secondColumn,secondAltText,extraText,filters
level1,level1/right1.PNG,right skewed histogram going from zero to just over 3; peaks at zero,Mean = 1.00; Median = 0.69,,SD = 1.00; IQR = 1.09,right
level1,level1/right2.PNG,right skewed histogram going from zero to just over 3; peaks just before 0.5,Mean = 1.00; Median = 0.84,,SD = 0.71; IQR = 0.86,right
level1,level1/right3.PNG,right skewed histogram going from zero to just over 3; peaks around 0.8,Mean = 0.99; Median = 0.95,,SD = 0.38; IQR = 1.11,right
level1,level1/left1.PNG,left skewed histogram going from below -4 to 0; peaks around 0,Mean = -1.00; Median = -0.69,,SD = 1.00; IQR = 1.09,left
level1,level1/left2.PNG,left skewed histogram going from below -4 to 0; peaks around -0.5,Mean = -1.00; Median = -0.84,,SD = 0.71; IQR = 0.86,left
level1,level1/left3.PNG,left skewed histogram going from just below -3 to about -0.2; peaks around -0.75,Mean = -1.00; Median = -0.97,,SD = 0.29; IQR = 0.38,left
level1,level1/normal1.PNG,bell shaped histogram going from 0.1 to 0.9; peaks around 0.5,Mean = 0.50; Median = 0.49,,SD = 0.16; IQR = 0.22,normal
level1,level1/normal2.PNG,bell shaped histogram going from 0 to 1; peaks around 0.5,Mean = 0.51; Median = 0.52,,SD = 0.22; IQR = 0.37,normal
level1,level1/normal3.PNG,bell shaped histogram going from 0 to 0.9; peaks around 0.5,Mean = 0.55; Median = 0.56,,SD = 0.19; IQR = 0.29,normal
level1,level1/normal4.PNG,bell shaped histogram going from -0.4 to 1.4; peaks aroudn 0.5,Mean = 0.48; Median = 0.48,,SD = 0.30; IQR = 0.53,normal
level1,level1/normal5.PNG,bell shaped histogram going from -0.4 to 1.4; peaks around 0.7,Mean = 0.51; Median = 0.55,,SD = 0.28; IQR = 0.49,normal
level1,level1/normal6.PNG,bell shaped histogram going from -0.2 to 1.4; peaks around 0.5,Mean = 0.50; Median = 0.51,,SD = 0.31; IQR = 0.32,normal
level1,level1/right4.PNG,right skewed histogram going from zero to just over 3; peaks around 0.25,Mean = 0.99; Median = 0.76,,SD = 0.86; IQR = 1.00,random
level1,level1/right5.PNG,right skewed histogram going from zero to just over 3; peaks around 0.25,Mean = 0.99; Median = 0.75,,SD = 0.89; IQR = 1.02,random
level1,level1/right6.PNG,right skewed histogram going from about 0.25 to about 2.75; peaks around 0.8,Mean = 1.00; Median = 0.97,,SD = 0.25; IQR = 0.34,random
level1,level1/right7.PNG,right skewed histogram going from 0.25 to about 2.4; peaks around 0.9,Mean = 0.99; Median = 0.98,,SD = 0.22; IQR = 0.30,random
level1,level1/right8.PNG,right skewed histogram going from 0 to just over 3; peaks around 0.7,Mean = 1.00; Median = 0.94,,SD = 0.54; IQR = 0.69,random
level1,level1/left4.PNG,"left skewed histogram going from below -4 to -0.1, peaks around -0.8",Mean = -0.99; Median = -0.95,,SD = 0.39; IQR = 0.51,random
level1,level1/left5.PNG,"left skewed histogram going from -2.8 to -0.25, peaks around -0.8",Mean = -1.00; Median = -0.97,,SD = 0.27; IQR = 0.36,random
level1,level1/left6.PNG,left skewed histogram going from below -4 to 0; peaks around -0.75,Mean = -1.00; Median = -0.94,,SD = 0.43; IQR = 0.57,random
level1,level1/left7.PNG,left skewed histogram going from -3 to -0.25; peaks around -0.8,Mean = -1.00; Median = -0.97,,SD = 0.29; IQR = 0.40,random
level1,level1/left8.PNG,left skewed histogram going from -2.5 to -0.25; peaks around -0.9,Mean = -1.00; Median = -0.98,,SD = 0.24; IQR = 0.32,random
level2,level2/density01.PNG,"narrow, bell shaped density curve going from -10 to 10; peaks at 0,",Mean =  0.00; Standard Deviation = 1.00,,,sd1
level2,level2/density02.PNG,"narrow, bell shaped density curve going from -5 to 15; peaks at 5",Mean =  5.00; Standard Deviation = 1.00,,,sd1
level2,level2/density03.PNG,"narrow, bell shaped density curve going from -9 to 12; peaks at 2",Mean =  2.00; Standard Deviation = 1.00,,,sd1
level2,level2/density04.PNG,"medium, bell shaped density curve going from -23 to 23; peaks at 0",Mean =  0.00; Standard Deviation = 3.00,,,sd2
level2,level2/density05.PNG,"medium, bell shaped density curve going from -19 to 24; peaks at 5",Mean =  5.00; Standard Deviation = 3.00,,,sd2
level2,level2/density06.PNG,"medium, bell shaped density curve going from -20 to 23; peakse at 2",Mean =  2.00; Standard Deviation = 3.00,,,sd2
level2,level2/density07.PNG,"wide, bell shaped density curve going from -20 to 30, peaks at 5",Mean =  5.00; Standard Deviation = 5.00,,,sd3
level2,level2/density08.PNG,"wide, bell shaped density curve going from -24 to 24, peaks at 0",Mean =  0.00; Standard Deviation = 5.00,,,sd3
